"","time_point","temperature","load","voltage","force"
"1",0,21.947845,0.532191489361702,4.17576595744681,2.36730482680851
"2",0.1,21.92458,0.42469696969697,4.1759696969697,1.88914555454545
"3",0.2,21.9278966666667,0.260882352941176,4.177,1.1604621
"4",0.3,21.9327488059701,0.18528125,4.177,0.824171761875
"6",0.5,21.945065,0.234076923076923,4.17530769230769,1.04122565076923
"7",0.6,21.9367545588235,0.407698113207547,4.17432075471698,1.81353090113208
"8",0.7,21.97685,0.262224489795918,4.17381632653061,1.16643222
"9",0.8,22.0026505970149,0.232972789115646,4.17653741496599,1.03631422
"11",1,22.0342384962406,0.0996923076923077,4.177,0.443453316923077
"12",1.1,22.0129629411765,0.3900625,4.177,1.73508381375
"13",1.2,22.0235587,0.117295774647888,4.17581690140845,0.521757410704227
"14",1.3,22.0372130597015,0.0413333333333329,4.17866666666667,0.183859759999998
"15",1.4,22.031101119403,0.177061224489795,4.177,0.787607279999998
"16",1.5,22.03221,0.155288888888889,4.177,0.690759141333334
"17",1.6,22.03221,0.333490909090909,4.177,1.48344093163636
"18",1.7,22.0327839393939,0.280222222222222,4.17522222222222,1.24649009333333
"19",1.8,22.0063462222222,0.326666666666667,4.17413333333333,1.4530852
"20",1.9,22.0041832592593,0.0662641509433952,4.177,0.294757521509429
"21",2,22.0140166666667,0.247436363636364,4.177,1.10065138145455
"23",2.2,22.0234652,0.16468,4.177,0.7325328696
"24",2.3,22.0285528571429,0.075245901639345,4.17711475409836,0.334710324590167
"25",2.4,22.0171242857143,0.143016949152542,4.17750847457627,0.636170853559322
"26",2.5,22.0066602238806,0.284739726027398,4.177,1.26658494410959
"27",2.6,22.0001154477612,0.185283582089553,4.177,0.824182135522391
"28",2.7,22.0081834343434,0.314545454545455,4.177,1.39916738181818
"29",2.8,22.0120356716418,0.302847826086957,4.17678260869565,1.34713375695652
"30",2.9,22.0129013432836,0.32977358490566,4.17475471698113,1.46690545584906
"31",3,21.9953851515152,0.526962962962963,4.177,2.34404719111111
"33",3.2,21.9910644,0.0785882352941163,4.177,0.349577759999994
"34",3.3,22.00151,0.283,4.176,1.25884626
"35",3.4,22.0234574626866,0.179,4.178,0.79623138
"36",3.5,22.0225163157895,0.52448275862069,4.17706896551724,2.33301469655172
"37",3.6,22.0166992537313,0.396844827586206,4.177,1.76525309896551
"38",3.7,22.0309548,-0.0117999999999998,4.177,-0.0524889959999992
"39",3.8,22.0180669924812,1.63652173913043,4.177,7.27960873043478
"40",3.9,22.0039829850746,1.86029411764706,4.177,8.2749975
"41",4,21.9972066165414,1.62725,4.177,7.238365995
"42",4.1,22.0078564705882,1.46446666666667,4.17706666666667,6.514269916
"43",4.2,22.0174429,1.60648936170213,4.177,7.14601810851064
"44",4.3,22.0083857894737,1.49307692307692,4.177,6.64153463076923
"46",4.5,22.0067725,0.912652173913054,4.17730434782609,4.05967765304353
"47",4.6,22.0373926470588,0.206135135135135,4.17708108108108,0.91693443081081
"48",4.7,22.0361464285714,0.194164383561646,4.177,0.863685894246585
"49",4.8,22.0431373134328,0.38398113207549,4.177,1.70803255132084
"50",4.9,22.0410934328358,1.84976595744681,4.177,8.22816592723404
"51",5,22.046473030303,1.65983018867925,4.177,7.38328984188679
"52",5.1,22.0411732352941,1.5782380952381,4.177,7.02035026
"53",5.2,22.0650861616162,1.47814893617021,4.17676595744681,6.57513166085106
"54",5.3,22.056218880597,1.62438461538462,4.177,7.22562013384616
"55",5.4,22.0399339393939,1.55197826086957,4.177,6.90354073956522
"56",5.5,22.0492215789474,1.36589090909091,4.177,6.07578325963636
"57",5.6,22.0517070588235,0.856999999999995,4.177,3.81212453999998
"58",5.7,22.0265548484848,0.18835294117647,4.17741176470588,0.837835319999999
"59",5.8,22.0340300746269,0.136470588235295,4.17788235294118,0.607051200000002
"60",5.9,22.0192801492537,0.180562499999998,4.177,0.803181723749991
"61",6,22.0215441353383,0.0405555555555549,4.177,0.18040003333333
"62",6.1,22.041533880597,0.171627450980392,4.17725490196078,0.763436659999999
"63",6.2,22.0419962,0.413345454545454,4.17787272727273,1.83865151781818
"64",6.3,22.0444613432836,0.376499999999999,4.177,1.67475482999999
"66",6.5,22.0634657894737,0.100527777777778,4.177,0.447169671666667
"67",6.6,22.0708598507463,0.257875000000001,4.1761875,1.1470847325
"68",6.7,22.0764025,0.495375,4.177375,2.2035369825
