,time_ind,signal,detected_offline,detected_value_rt,flag,first_detection_time
0,10001,292.150001407262,0.0,0.0,False,
1,10002,292.150001404214,0.0,0.0,False,
2,10003,292.150001401173,0.0,0.0,False,
3,10004,292.150001398138,0.0,0.0,False,
4,10005,292.15000139511,0.0,0.0,False,
5,10006,292.150001392089,0.0,0.0,False,
6,10007,292.150001389074,0.0,0.0,False,
7,10008,292.150001386065,0.0,0.0,False,
8,10009,292.150001383063,0.0,0.0,False,
9,10010,292.150001380068,0.0,0.0,False,
10,10011,292.150001377079,0.0,0.0,False,
11,10012,292.150001374096,0.0,0.0,False,
12,10013,292.15000137112,0.0,0.0,False,
13,10014,292.150001368151,0.0,0.0,False,
14,10015,292.150001365187,0.0,0.0,False,
15,10016,292.150001362231,0.0,0.0,False,
16,10017,292.15000135928,0.0,0.0,False,
17,10018,292.150001356336,0.0,0.0,False,
18,10019,292.150001353399,0.0,0.0,False,
19,10020,292.150001350467,0.0,0.0,False,
20,10021,292.150001347542,0.0,0.0,False,
21,10022,292.150001344624,0.0,0.0,False,
22,10023,292.150001341712,0.0,0.0,False,
23,10024,292.150001338806,0.0,0.0,False,
24,10025,292.150001335906,0.0,0.0,False,
25,10026,292.150001333013,0.0,0.0,False,
26,10027,292.150001330126,0.0,0.0,False,
27,10028,292.150001327245,0.0,0.0,False,
28,10029,292.15000132437,0.0,0.0,False,
29,10030,292.150001321502,0.0,0.0,False,
30,10031,292.15000131864,0.0,0.0,False,
31,10032,292.150001315784,0.0,0.0,False,
32,10033,292.150001312934,0.0,0.0,False,
33,10034,292.15000131009,0.0,0.0,False,
34,10035,292.150001307253,0.0,0.0,False,
35,10036,292.150001304421,0.0,0.0,False,
36,10037,292.150001301596,0.0,0.0,False,
37,10038,292.150001298777,0.0,0.0,False,
38,10039,292.150001295964,0.0,0.0,False,
39,10040,292.150001293157,0.0,0.0,False,
40,10041,292.150001290357,0.0,0.0,False,
41,10042,292.150001287562,0.0,0.0,False,
42,10043,292.150001284773,0.0,0.0,False,
43,10044,292.150001281991,0.0,0.0,False,
44,10045,292.150001279214,0.0,0.0,False,
45,10046,292.150001276443,0.0,0.0,False,
46,10047,292.150001273679,0.0,0.0,False,
47,10048,292.15000127092,0.0,0.0,False,
48,10049,292.150001268168,0.0,0.0,False,
49,10050,292.150001265421,0.0,0.0,False,
50,10051,292.15000126268,0.0,0.0,False,
51,10052,292.150001259945,0.0,0.0,False,
52,10053,292.150001257217,0.0,0.0,False,
53,10054,292.150001254494,0.0,0.0,False,
54,10055,292.150001251776,0.0,0.0,False,
55,10056,292.150001249065,0.0,0.0,False,
56,10057,292.15000124636,0.0,0.0,False,
57,10058,292.150001243661,0.0,0.0,False,
58,10059,292.150001240967,0.0,0.0,False,
59,10060,292.150001238279,0.0,0.0,False,
60,10061,292.150001235597,0.0,0.0,False,
61,10062,292.150001232921,0.0,0.0,False,
62,10063,292.150001230251,0.0,0.0,False,
63,10064,292.150001227586,0.0,0.0,False,
64,10065,292.150001224928,0.0,0.0,False,
65,10066,292.150001222275,0.0,0.0,False,
66,10067,292.150001219627,0.0,0.0,False,
67,10068,292.150001216986,0.0,0.0,False,
68,10069,292.15000121435,0.0,0.0,False,
69,10070,292.15000121172,0.0,0.0,False,
70,10071,292.150001209095,0.0,0.0,False,
71,10072,292.150001206477,0.0,0.0,False,
72,10073,292.150001203864,0.0,0.0,False,
73,10074,292.150001201256,0.0,0.0,False,
74,10075,292.150001198655,0.0,0.0,False,
75,10076,292.150001196058,0.0,0.0,False,
76,10077,292.150001193468,0.0,0.0,False,
77,10078,292.150001190883,0.0,0.0,False,
78,10079,292.150001188304,0.0,0.0,False,
79,10080,292.15000118573,0.0,0.0,False,
80,10081,292.150001183162,0.0,0.0,False,
81,10082,292.150001180599,0.0,0.0,False,
82,10083,292.150001178042,0.0,0.0,False,
83,10084,292.150001175491,0.0,0.0,False,
84,10085,292.150001172945,0.0,0.0,False,
85,10086,292.150001170405,0.0,0.0,False,
86,10087,292.15000116787,0.0,0.0,False,
87,10088,292.15000116534,0.0,0.0,False,
88,10089,292.150001162816,0.0,0.0,False,
89,10090,292.150001160298,0.0,0.0,False,
90,10091,292.150001157785,0.0,0.0,False,
91,10092,292.150001155277,0.0,0.0,False,
92,10093,292.150001152775,0.0,0.0,False,
93,10094,292.150001150278,0.0,0.0,False,
94,10095,292.150001147787,0.0,0.0,False,
95,10096,292.150001145301,0.0,0.0,False,
96,10097,292.15000114282,0.0,0.0,False,
97,10098,292.150001140345,0.0,0.0,False,
98,10099,292.150001137875,0.0,0.0,False,
99,10100,292.150001135411,0.0,0.0,False,
100,10101,292.150001132952,0.0,0.0,False,
101,10102,292.150001130498,0.0,0.0,False,
