fold,accuracy,precision,recall,f1
0,0.7727272727272727,0.7894736842105263,0.9375,0.8571428571428571
1,0.7272727272727273,0.7272727272727273,1.0,0.8421052631578947
2,0.8181818181818182,0.8095238095238095,1.0,0.8947368421052632
3,0.7272727272727273,0.7894736842105263,0.8823529411764706,0.8333333333333334
4,0.8095238095238095,0.8,1.0,0.8888888888888888
