"","temperature","detected_value_rt","detected_offline"
"1",22.7745274,0,0
"2",22.7764068,0,0
"3",22.7919430827068,0,0
"4",22.7932513533835,0,0
"5",22.7730122222222,0,0
"6",22.7971842,0,0
"7",22.7703354,0,0
"8",22.7659958646617,0,0
"9",22.8052890977444,0,0
"10",22.8212017171717,0,0
"11",22.7884894059406,0,0
"12",22.7619275,0,0
"13",22.7815536567164,0,0
"14",22.7889193283582,0,0
"15",22.775845959596,0,0
"16",22.7934347524752,0,0
"17",22.8103651515152,0,0
"18",22.797333960396,0,0
"19",22.8063645,0,0
"20",22.7989539,0,0
"21",22.8050652,0,0
"22",22.7837003030303,0,0
"23",22.7743553465347,0,0
"24",22.7954568686869,0,0
"25",22.8001722556391,0,0
"26",22.806285037594,0,0
"27",22.8039458,0,0
"28",22.7950036,0,0
"29",22.7755942424242,0,0
"30",22.799647238806,0,0
"31",22.7862218656716,0,0
"32",22.7832548,0,0
"33",22.7850403960396,0,0
"34",22.7890962626263,0,0
"35",22.7964551485149,0,0
"36",22.7908396,0,0
"37",22.7978461,0,0
"38",22.8092704,0,0
"39",22.8023625,0,0
"40",22.8005894,0,0
"41",22.7968982828283,0,0
"42",22.8289391729323,0,0
"43",22.8223978195489,0,0
"44",22.8196972,0,0
"45",22.8156492,0,0
"46",22.8402623232323,0,0
"47",22.8478707462687,0,0
"48",22.8552289552239,0,0
"49",22.8534959405941,0,0
"50",22.8557125742574,0,0
"51",22.8389097014925,0,0
"52",22.8358798507463,0,0
"53",22.84184,0,0
"54",22.842339,0,0
"55",22.8659894,0,0
"56",22.8274794,0,0
"57",22.862498,0,0
"58",22.8514171287129,0,0
"59",22.8656473267327,0,0
"60",22.86738,0,0
"61",22.86157,0,0
"62",22.83314,0,0
"63",22.83895,0,0
"64",22.8210552631579,0,0
"65",22.8124473,0,0
"66",22.8317537,0,0
"67",22.8094312,0,0
"68",22.8175315151515,0,0
"69",22.823683030303,0,0
"70",22.8048392,0,0
"71",22.8087364356436,0,0
"72",22.7888806,0,0
"73",22.7825262,0,0
"74",22.8055,0,0
"75",22.7879182,0,0
"76",22.7911878,0,0
"77",22.8111608,0,0
"78",22.7868858,0,0
"79",22.7965704,0,0
"80",22.8245997744361,0,0
"81",22.8040884962406,-0.0104166666666667,0
"82",22.8219242,-0.0208333333333333,0
"83",22.812971,-0.03125,0
"84",22.8200218,-0.03125,0
"85",22.8032305263158,-0.0416666666666667,0
"86",22.8167568421053,-0.0416666666666667,0
"87",22.8377626,-0.0416666666666667,0
"88",22.8363204950495,-0.0520833333333333,0
"89",22.8079732,-0.0625,0
"90",22.8267588721805,-0.0625,0
"91",22.827202481203,-0.0625,0
