,dataset_name,detection_point,trigger_temperature,window_index
103,Soteria-SCC-4630mAh-10SOC,1209.0,22.1527168,36.0
104,Soteria-SCC-4700mAh-100SOC-12mm,2943.0,,94.0
105,Soteria-SCC-4720mAh-40SOC,1633.0,23.115296,51.0
106,Soteria-SCC-4870mah-0SOC,185.0,21.8093752631579,2.0
107,Soteria-SCC-5050mAhr-100SOC,1631.0,22.5047001492537,51.0
108,Soteria-SCC-5070-70SOC,1631.0,22.9213595454545,51.0
109,Soteria-SCC-5080mAh-20SOC,371.0,22.4610266,9.0
110,Soteria-SCC-5170mAh-60SOC,,,
111,Soteria-SCC-60SOC-cell1,,,
112,Soteria-SCC-80SOC-cell1,1616.0,22.5836524,50.0
113,Soteria-SCC-90SOC-cell1,,,
114,Soteria-control-10SOC-cell1,1721.0,22.7856764,54.0
115,Soteria-control-30SOC-cell1,944.0,103.73663,28.0
116,Soteria-control-30SOC-cell2,2169.0,120.760173684211,68.0
117,Soteria-control-5100mAh-50SOC,681.0,22.2250933333333,19.0
