,dataset_name,severity_description.x,severity_level,Conclusion,second_buy,Label,battery,battery_category,X10_60,X10_75,X10_100,X10_125,X10_150,X40_60,X40_75,X40_100,X40_125,X40_150,X30_75,X30_100,X30_125,X30_150
85,OE-NMC10Ah-50SOC,"Physical effect, rupture of pouch, smoke, gas release, fire – 7",7,FN,-19.1,1,NMC,Commercial (NMC),0.549019608,0.493434343,0.423076923,0.382183908,0.339007092,0.577777778,0.475925926,0.431147541,0.391472868,0.362398147,0.544927536,0.439906103,0.367013889,0.313774105
86,OE-NMC10Ah-60SOC,"Physical effect, rupture of pouch, smoke, gas release, fire – 7",7,TP,-2.8,1,NMC,Commercial (NMC),0.379084967,0.304040404,0.229304029,0.22816092,0.227186761,0.396825397,0.362037037,0.277595628,0.281007752,0.243897321,0.580434783,0.489201878,0.433680556,0.344077135
87,Soetria-80SOC-cell3,"Physical effect, rupture of pouch, smoke, gas release, fire – 7",7,TP,43.1,1,SO,Soteria,0.162091503,0.179292929,0.157875458,0.16954023,0.152245863,0.311111111,0.286111111,0.226229508,0.222093023,0.334987132,0.460869565,0.422065728,0.381597222,0.168937412
88,Soetria-Control-45SOC-cell1,"Physical effect (pouch swelling), rupture of pouch, gas release –  6",6,TP,47.1,1,SO,Soteria (Control),0.31503268,0.306060606,0.249084249,0.25545977,0.249172577,0.403174603,0.373148148,0.316939891,0.296899225,0.31099394,0.456521739,0.358215962,0.325694444,0.273553719
89,Sorteria-100SOC-cell1,"No effect, instant local Joule heating, no internal discharge – 1",1,FP,-9999,0,SO,Soteria,0.437908497,0.373232323,0.298168498,0.250287356,0.219148936,0.657142857,0.507407407,0.348087432,0.287209302,0.255555556,0.450724638,0.349295775,0.318055556,0.234986226
90,Sorteria-100SOC-cell2,"No effect, instant local Joule heating, no internal discharge – 1",1,FP,-9999,0,SO,Soteria,0.366666667,0.364141414,0.275091575,0.215804598,0.177541371,0.384126984,0.372222222,0.257923497,0.201937984,0.163663664,0.460869565,0.377934272,0.333680556,0.167217631
91,Sorteria-Control-100SOC-cell1,"Physical effect, rupture of pouch, smoke, gas release, fire – 7",7,TP,100.3,1,SO,Soteria (Control),0.41503268,0.361111111,0.295238095,0.256034483,0.21678487,0.384126984,0.264814815,0.252459016,0.179069767,0.388239175,0.473913043,0.428638498,0.384027778,0.165013774
92,Sorteria-Control-100SOC-cell2,"Physical effect, rupture of pouch, smoke, gas release, fire – 7",7,TP,100.3,1,SO,Soteria (Control),0.149019608,0.115151515,0.154945055,0.172126437,0.143498818,0.238095238,0.185185185,0.224043716,0.227131783,0.34109348,0.46884058,0.433802817,0.389930556,0.167217631
93,Sorteria-control-20SOC-cell1,"Physical effect (pouch swelling), extended joule heating, local reactions – 5",5,TP,110.5,1,SO,Soteria (Control),0.349019608,0.319191919,0.288644689,0.257183908,0.224113475,0.6,0.483333333,0.370491803,0.304263566,0.17431289,0.552173913,0.49342723,0.445833333,0.256749311
94,Sorteria-control-40SOC-cell2,"Physical effect (pouch swelling), rupture of pouch, gas release –  6",6,TP,59.6,1,SO,Soteria (Control),0.377777778,0.307070707,0.222710623,0.203448276,0.195035461,0.544444444,0.432407407,0.283606557,0.255426357,0.2732423,0.520289855,0.448356808,0.399652778,0.200550964
